text,category
"McDonalds burger menu","food"
"KFC late dinner","food"
"Uber to university","transport"
"Metro ticket","transport"
"Steam games sale","entertainment"
"Netflix monthly subscription","entertainment"
"New sneakers Nike","shopping"
"Rozetka electronics order","shopping"
"Electricity bill","bills"
"Gas bill","bills"
"Pharmacy vitamins","health"
"Doctor visit","health"
"Random purchase","other"
"Supermarket groceries","food"
"Taxi at night","transport"
"Cinema tickets","entertainment"
"AliExpress gadgets","shopping"
"Water bill","bills"
"Hospital analysis","health"
